flight_loc_state_id,holding_id,country_id,state_id
4998,503030,1,2
2,503733,1,2
3,503734,1,2
4,503729,1,2
3718,504161,1,2
3717,504159,1,2
3714,504158,1,2
5883,503515,1,2
3715,504160,1,2
10,503732,1,2
11,503730,1,2
12,503731,1,2
13,506247,1,2
14,506413,1,2
15,503541,1,2
5612,502340,1,3
6899,504272,1,3
17268,506941,1,3
17269,506942,1,3
17921,506198,1,5
6316,502799,1,3
5605,502337,1,3
23,504257,1,3
7757,504072,1,3
20364,503309,1,3
26,504206,1,3
6502,506295,1,3
6772,502600,1,3
29,504219,1,3
5617,504689,1,3
20345,503200,1,3
32,503488,1,3
6980,504208,1,3
6935,503673,1,3
20069,506243,1,3
16621,506465,1,3
20417,506716,1,3
16312,506754,1,3
39,502116,1,3
40,502117,1,3
41,502119,1,3
42,502120,1,3
19289,503910,1,50
15575,503911,1,50
19300,503912,1,50
19311,503913,1,50
5650,505732,1,3
48,504544,1,3
49,502225,1,3
6167,502613,1,3
20723,502667,1,49
18595,502668,1,49
6849,506294,1,3
6484,506391,1,3
13622,506752,1,3
16509,506218,1,3
6528,503027,1,3
6137,502591,1,3
6146,502597,1,3
11488,504444,1,3
61,506407,1,3
62,502212,1,3
9470,502585,1,3
19540,504597,1,3
65,504311,1,4
7807,506191,1,4
20170,504182,1,5
68,503567,1,5
7261,503548,1,5
19203,503109,1,5
13086,502386,1,5
5934,502511,1,5
19599,502385,1,5
4215,504403,1,5
75,504378,1,5
6791,502333,1,5
19597,502513,1,5
9965,506614,1,5
6846,502298,1,5
6125,502581,1,5
20914,503058,1,5
20373,503259,1,5
5939,503001,1,5
5937,502514,1,5
6744,504386,1,5
19664,502515,1,5
7660,503004,1,5
20750,503006,1,5
20759,503009,1,5
6207,503011,1,5
15984,503012,1,5
6670,503018,1,5
93,503019,1,5
9553,503025,1,5
17730,503029,1,5
20323,503185,1,5
97,503048,1,5
98,503115,1,5
20303,503183,1,5
100,503343,1,5
6215,503056,1,5
102,503476,1,5
6130,502586,1,5
19039,502189,1,5
105,503831,1,5
5150,503085,1,5
19028,502088,1,5
6322,502796,1,5
109,502697,1,5
21255,502802,1,5
19601,504034,1,5
6789,502566,1,5
113,502279,1,5
18423,508921,1,5
9929,502430,1,5
16003,502401,1,5
11424,502456,1,5
19252,502455,1,5
6147,502598,1,5
18913,502260,1,5
18712,502129,1,5
5002,502130,1,5
15978,502405,1,5
18941,502066,1,5
19022,502068,1,5
4530,503069,1,5
4977,502173,1,5
128,502275,1,5
129,502283,1,5
130,502274,1,5
18912,502252,1,5
4436,502676,1,5
4011,503086,1,5
19004,502184,1,5
19005,502185,1,5
4955,502186,1,5
19007,502187,1,5
9356,502281,1,5
139,502253,1,5
6659,502626,1,5
18936,502063,1,5
142,502646,1,5
5131,502013,1,5
4975,502175,1,5
4982,502168,1,5
20396,503318,1,5
18931,502047,1,5
19020,502060,1,5
9247,503160,1,5
20917,503321,1,5
17265,504203,1,5
15791,502458,1,5
6773,502601,1,5
6774,502602,1,5
6776,502603,1,5
7725,502622,1,5
19003,502182,1,5
20358,503243,1,5
9814,502421,1,5
19023,502069,1,5
19024,502070,1,5
20339,503186,1,5
6117,503735,1,5
17911,503421,1,5
4946,502194,1,5
4944,502195,1,5
5018,502089,1,5
19029,502090,1,5
19098,504195,1,5
8565,503417,1,5
171,502217,1,5
20324,503216,1,5
173,502683,1,5
174,502686,1,5
175,502027,1,5
20350,503199,1,5
18717,502192,1,5
7140,502784,1,5
9357,502280,1,5
6532,503857,1,5
10260,503065,1,5
17595,502715,1,5
6589,502716,1,5
184,504119,1,5
4444,502701,1,5
6771,502599,1,5
19013,502003,1,5
7125,503461,1,5
6451,504183,1,5
20372,503257,1,5
4569,503597,1,5
18914,502259,1,5
9299,502714,1,5
7259,503556,1,5
5021,502087,1,5
18893,502226,1,5
17768,502672,1,5
18987,502132,1,5
4999,502133,1,5
4997,502134,1,5
4993,502139,1,5
18988,502140,1,5
18911,502251,1,5
204,504152,1,5
18922,502032,1,5
19034,502112,1,5
6119,502575,1,5
21079,502397,1,5
7744,502502,1,5
210,502293,1,5
211,502294,1,5
17610,503002,1,5
213,502687,1,5
6538,502688,1,5
19038,502127,1,5
18711,502128,1,5
6408,502792,1,5
6106,502565,1,5
19177,502801,1,5
6086,503838,1,5
21239,503839,1,5
20150,502608,1,5
5909,502485,1,5
5013,502093,1,5
6044,502678,1,5
19037,502126,1,5
6120,502576,1,5
20333,503073,1,5
21183,504035,1,5
20376,503077,1,5
20296,502438,1,5
18854,502077,1,5
18855,502078,1,5
234,502692,1,5
235,502693,1,5
10686,502152,1,5
21148,502454,1,5
238,502096,1,5
4563,503528,1,5
20510,507472,1,28
18929,502042,1,5
17177,502429,1,5
7118,503526,1,5
18043,502450,1,5
19703,503158,1,5
19373,504149,1,5
247,502288,1,5
248,502289,1,5
249,502290,1,5
6727,502494,1,5
251,502004,1,5
6539,502699,1,5
4443,502694,1,5
13160,502338,1,5
255,502265,1,5
256,502215,1,5
19009,502205,1,5
6095,502554,1,5
4445,502702,1,5
260,502292,1,5
6787,503037,1,5
20758,503038,1,5
10228,503040,1,5
10893,503042,1,5
10234,503045,1,5
11622,504477,1,5
4949,502191,1,5
6216,502800,1,5
18989,502149,1,5
18990,502150,1,5
271,502151,1,5
4609,502722,1,5
5144,503828,1,5
274,503829,1,5
275,503830,1,5
11638,504033,1,5
10123,502617,1,5
19665,502490,1,5
279,502682,1,5
17919,502459,1,5
18921,502030,1,5
19017,502031,1,5
4546,503333,1,5
284,502291,1,5
16975,506713,1,5
9910,503474,1,5
16473,502400,1,5
17827,503405,1,5
8577,503304,1,5
18862,502174,1,5
20121,502571,1,5
18920,502029,1,5
293,502045,1,5
18930,502046,1,5
18861,502141,1,5
4990,502142,1,5
297,502237,1,5
5011,502094,1,5
18853,502076,1,5
7406,503096,1,5
19197,504147,1,5
4451,502708,1,5
6121,502577,1,5
7352,503094,1,5
18852,502074,1,5
5030,502075,1,5
19096,502399,1,5
21084,502605,1,5
6158,502606,1,5
17736,503793,1,5
311,503794,1,5
312,503795,1,5
20154,502409,1,5
314,502685,1,5
315,502700,1,5
4942,502196,1,5
317,502197,1,5
19040,502223,1,5
10230,502525,1,5
20387,503274,1,5
321,502266,1,5
322,502243,1,5
4673,504163,1,5
5044,502053,1,5
18504,503719,1,5
21170,502713,1,5
4009,503824,1,5
19015,502011,1,5
18933,502055,1,5
330,502051,1,5
19019,502052,1,5
15456,502639,1,5
333,502680,1,5
334,502696,1,5
335,502148,1,5
336,502161,1,5
337,504151,1,5
338,502040,1,5
4996,502135,1,5
10685,502136,1,5
10687,502137,1,5
18895,502247,1,5
15793,502424,1,5
18089,502428,1,5
6144,502596,1,5
6414,502791,1,5
20492,503380,1,5
4600,503194,1,5
7316,503918,1,5
350,502160,1,5
19011,502269,1,5
352,502724,1,5
20491,503381,1,5
20485,503385,1,5
19021,502065,1,5
19446,506700,1,5
5893,502469,1,5
5894,502470,1,5
6305,502644,1,5
4984,502166,1,5
361,502028,1,5
362,502033,1,5
6786,502612,1,5
19008,502202,1,5
365,502222,1,5
18851,502073,1,5
19025,502080,1,5
9333,502582,1,5
369,502012,1,5
19672,502561,1,5
371,502230,1,5
5010,502101,1,5
17267,504204,1,5
4439,502681,1,5
375,502689,1,5
18856,502079,1,5
377,502698,1,5
5132,502006,1,5
379,502005,1,5
20757,503234,1,5
