flight_loc_county_id,holding_id,country_id,state_id,county_id
33924,502479,1,5,235
33923,502479,1,5,201
29659,507409,1,5,240
29658,507409,1,5,203
29590,507410,1,5,217
29589,507410,1,5,214
29630,507411,1,5,221
29629,507411,1,5,217
29335,508991,1,5,217
29316,507412,1,5,214
29253,507413,1,5,203
29442,507414,1,5,203
29449,507415,1,5,214
29596,507416,1,5,214
29595,507417,1,5,214
29624,507418,1,5,217
29623,507418,1,5,214
33413,507419,1,5,240
33420,507420,1,5,226
33417,507421,1,5,226
33416,507422,1,5,226
31877,507424,1,5,240
29255,507425,1,5,240
29254,507425,1,5,203
34489,507426,1,5,224
34851,507427,1,5,226
34491,507428,1,5,203
27471,507429,1,5,203
34492,507430,1,5,203
35324,507618,1,5,231
35322,507617,1,5,203
21723,507433,1,5,203
34481,507434,1,5,203
23654,507436,1,31,1821
23653,507436,1,31,1801
25296,507437,1,31,1811
27476,507438,1,5,226
34493,507440,1,5,220
27500,507441,1,5,203
27482,507442,1,5,203
34494,507443,1,5,220
34496,507444,1,5,220
34655,507445,1,5,226
26072,507447,1,5,240
26071,507447,1,5,226
26070,507447,1,5,224
26069,507447,1,5,199
32054,507450,1,5,204
34654,507448,1,5,220
24929,507449,1,3,103
35297,507446,1,5,240
32014,507451,1,5,200
35299,507453,1,5,199
34661,507455,1,5,199
34667,507456,1,3,106
27503,507457,1,5,217
34662,507458,1,5,217
34664,507459,1,5,203
34665,507460,1,5,240
34666,507461,1,5,240
34668,507463,1,5,217
34669,507465,1,5,203
25115,507466,1,5,203
24947,507467,1,5,199
34750,507468,1,5,220
34749,507468,1,5,203
31850,507469,1,5,226
34751,507470,1,5,203
34764,507474,1,5,217
34769,507475,1,5,199
34770,507476,1,28,1751
34771,507477,1,5,240
34772,507478,1,5,240
34773,507479,1,5,194
26546,507480,1,28,1751
24298,507481,1,5,226
25567,507482,1,5,220
25566,507482,1,5,217
34774,507483,1,5,226
34775,507484,1,5,240
25147,507485,1,5,227
25122,507486,1,5,203
34777,507488,1,5,203
23571,507489,1,5,203
24763,507490,1,5,217
34781,507491,1,5,220
34785,507492,1,16,991
34784,507492,1,16,932
34783,507492,1,16,923
34782,507492,1,16,902
32753,507218,1,5,225
34787,507494,1,5,214
35529,507493,1,36,2189
35528,507493,1,36,2184
32752,507218,1,5,185
23561,507495,1,5,238
34789,507496,1,5,203
34488,507426,1,5,211
31822,504278,1,5,203
24878,507499,1,5,199
30589,507500,1,5,226
34790,507501,1,5,199
34795,507502,1,5,240
34792,507503,1,5,217
23553,507504,1,3,103
23552,507504,1,3,97
34793,507505,1,5,240
34794,507506,1,5,220
34803,507507,1,43,2576
34797,507508,1,5,203
23547,507509,1,5,199
34798,507510,1,5,203
34804,507511,1,5,221
28823,507512,1,5,220
24417,507514,1,5,203
34811,507515,1,5,203
29167,508298,1,5,195
24151,507517,1,5,240
29155,507516,1,5,203
24150,507517,1,5,203
29665,507518,1,5,221
29664,507518,1,5,217
25135,507519,1,6,282
34812,507520,1,5,203
34813,507521,1,5,203
33554,507522,1,5,226
34346,507524,1,5,214
29244,507525,1,31,1806
29243,507525,1,31,1803
29242,507525,1,3,106
29241,507525,1,3,105
29240,507525,1,3,102
34814,507527,1,5,203
23156,507528,1,46,2945
23155,507528,1,46,2934
23154,507528,1,46,2930
23153,507528,1,46,2871
23152,507528,1,42,2516
23151,507528,1,42,2512
23150,507528,1,42,2508
23149,507528,1,42,2472
23148,507528,1,42,2456
23147,507528,1,42,2436
23146,507528,1,33,1988
23145,507528,1,33,1983
23144,507528,1,33,1949
23143,507528,1,33,1945
23142,507528,1,33,1894
