id,holding_id,County,Region,Format,Notes,Restrictions,image_name
100,502280,"LOS ANGELES","LOS ANGELES BASIN",NULL,"Partial Coverage",NULL,los_angeles.jpg
102,502668,"LOS ANGELES","LOS ANGELES BASIN",NULL,NULL,NULL,los_angeles.jpg
103,502438,"LOS ANGELES","SAN FERNANDO VALLEY",P,NULL,NULL,los_angeles.jpg
105,502456,"LOS ANGELES","MALIBU/SANTA MONICA MOUNTAINS",NULL,NULL,NULL,los_angeles.jpg
109,502365,"LOS ANGELES","SAN FERNANDO VALLEY",P,NULL,NULL,los_angeles.jpg
110,502424,"LOS ANGELES","SAN FERNANDO VALLEY",NULL,NULL,NULL,los_angeles.jpg
114,502428,"LOS ANGELES","SAN FERNANDO VALLEY",P,NULL,NULL,los_angeles.jpg
1491,503069,"LOS ANGELES","MALIBU/SANTA MONICA MOUNTAINS",NULL,NULL,NULL,los_angeles.jpg
119,502436,"LOS ANGELES","SAN FERNANDO VALLEY",NULL,NULL,NULL,los_angeles.jpg
121,503029,"LOS ANGELES","SAN FERNANDO VALLEY",P,NULL,NULL,los_angeles.jpg
1495,503563,"LOS ANGELES","SANTA CLARITA VALLEY",P,Newhall,NULL,los_angeles.jpg
124,502792,"LOS ANGELES","SAN FERNANDO VALLEY",P,NULL,NULL,los_angeles.jpg
125,503152,"LOS ANGELES","SAN FERNANDO VALLEY",P,NULL,NULL,los_angeles.jpg
126,503106,"LOS ANGELES","SAN FERNANDO VALLEY",P,NULL,NULL,los_angeles.jpg
128,502667,"LOS ANGELES","SAN FERNANDO VALLEY",NULL,NULL,NULL,los_angeles.jpg
130,502281,"LOS ANGELES","SAN FERNANDO VALLEY",NULL,"Partial Coverage",NULL,los_angeles.jpg
132,502668,"LOS ANGELES","SAN FERNANDO VALLEY",NULL,NULL,NULL,los_angeles.jpg
133,502438,"LOS ANGELES","NORTH COUNTY",P,"Not all photographs held in collection.",NULL,los_angeles.jpg
1474,506717,"LOS ANGELES","MALIBU/SANTA MONICA MOUNTAINS",NULL,"Point Dume and Malibu",NULL,los_angeles.jpg
135,502365,"LOS ANGELES","NORTH COUNTY",P,NULL,NULL,los_angeles.jpg
136,502366,"LOS ANGELES","NORTH COUNTY",P,NULL,NULL,los_angeles.jpg
137,503100,"LOS ANGELES","NORTH COUNTY",P,NULL,NULL,los_angeles.jpg
138,502810,"LOS ANGELES","NORTH COUNTY",NULL,NULL,NULL,los_angeles.jpg
1488,503727,"LOS ANGELES","MALIBU/SANTA MONICA MOUNTAINS",NULL,"Pictorial Coverage",NULL,los_angeles.jpg
140,502667,"LOS ANGELES","NORTH COUNTY",NULL,NULL,NULL,los_angeles.jpg
141,502668,"LOS ANGELES","NORTH COUNTY",NULL,NULL,NULL,los_angeles.jpg
142,502438,"LOS ANGELES","SANTA CLARITA VALLEY",P,NULL,NULL,los_angeles.jpg
143,502582,"LOS ANGELES","SANTA CLARITA VALLEY",P,NULL,NULL,los_angeles.jpg
144,502365,"LOS ANGELES","SANTA CLARITA VALLEY",P,NULL,NULL,los_angeles.jpg
1471,505335,"SANTA BARBARA","GAVIOTA/POINT CONCEPTION",P,NULL,NULL,santa_barbara.jpg
146,503024,"LOS ANGELES","SANTA CLARITA VALLEY- SAUGUS/NEWHALL",NULL,"Partial Coverage",NULL,los_angeles.jpg
150,502366,"LOS ANGELES","SANTA CLARITA VALLEY",P,NULL,NULL,los_angeles.jpg
151,502630,"LOS ANGELES","SANTA CLARITA VALLEY",P,"Partial Coverage",NULL,los_angeles.jpg
154,503100,"LOS ANGELES","SANTA CLARITA VALLEY",P,NULL,NULL,los_angeles.jpg
157,503152,"LOS ANGELES","SANTA CLARITA VALLEY",P,NULL,NULL,los_angeles.jpg
159,502810,"LOS ANGELES","SANTA CLARITA VALLEY",NULL,NULL,NULL,los_angeles.jpg
160,502667,"LOS ANGELES","SANTA CLARITA VALLEY",NULL,NULL,NULL,los_angeles.jpg
162,502280,"LOS ANGELES","SANTA CLARITA VALLEY",NULL,"Partial Coverage",NULL,los_angeles.jpg
164,502668,"LOS ANGELES","SANTA CLARITA VALLEY",NULL,NULL,NULL,los_angeles.jpg
165,502399,ORANGE,"ORANGE COUNTY",P,"Northwest section of county. Not all photographs held in collection.",NULL,
166,502400,ORANGE,"ORANGE COUNTY",NULL,"Western half of county",NULL,NULL
169,502367,ORANGE,"ORANGE COUNTY",P,NULL,NULL,
1521,507420,"SANTA BARBARA","CHANNEL ISLANDS",P,NULL,NULL,santa_barbara.jpg
175,502425,ORANGE,"ORANGE COUNTY",NULL,NULL,NULL,NULL
177,502428,ORANGE,"ORANGE COUNTY",NULL,NULL,NULL,NULL
1300,502362,VENTURA,"COASTAL VENTURA/OXNARD PLAIN",P,NULL,NULL,ventura.jpg
183,502792,ORANGE,"ORANGE COUNTY",P,NULL,NULL,
1518,507215,KERN,"WEST COUNTY",P,"Taft to McKittrick",NULL,kern.jpg
1517,507119,"SANTA BARBARA","LOS PADRES NATIONAL FOREST",P,"Painted Cave Fire area",NULL,santa_barbara.jpg
187,503153,ORANGE,"ORANGE COUNTY",P,NULL,NULL,
