flight_loc_country_id,holding_id,country_id
1,502000,1
2,502001,1
3415,502002,1
18996,502003,1
5,502004,1
6,502005,1
4846,502006,1
8,502007,1
9,502008,1
19027,502009,1
18997,502010,1
18998,502011,1
13,502012,1
4845,502013,1
15,502014,1
4844,502015,1
17,502016,1
18,502017,1
4843,502018,1
4842,502019,1
3574,502020,1
22,502021,1
23,502022,1
4841,502023,1
25,502024,1
18999,502025,1
27,502026,1
28,502027,1
29,502028,1
18905,502029,1
18906,502030,1
19000,502031,1
18907,502032,1
34,502033,1
35,502034,1
18908,502035,1
18909,502036,1
18910,502037,1
18912,502038,1
18911,502039,1
41,502040,1
18913,502041,1
18914,502042,1
44,502043,1
19001,502044,1
46,502045,1
18915,502046,1
18916,502047,1
49,502048,1
50,502049,1
4729,502050,1
52,502051,1
19002,502052,1
4728,502053,1
18917,502054,1
18918,502055,1
57,502056,1
18919,502057,1
7468,502058,1
4726,502059,1
19003,502060,1
4724,502061,1
18920,502062,1
18921,502063,1
18922,502064,1
19004,502065,1
18926,502066,1
18924,502067,1
19005,502068,1
19006,502069,1
19007,502070,1
18838,502071,1
18837,502072,1
18839,502073,1
18840,502074,1
4714,502075,1
18841,502076,1
18842,502077,1
18843,502078,1
18844,502079,1
19008,502080,1
19009,502081,1
83,502082,1
84,502083,1
19010,502084,1
86,502085,1
18931,502086,1
4705,502087,1
19011,502088,1
4702,502089,1
19012,502090,1
4699,502091,1
4698,502092,1
4697,502093,1
4695,502094,1
96,502095,1
97,502096,1
98,502097,1
99,502098,1
100,502099,1
101,502100,1
4694,502101,1
4692,502102,1
18960,502103,1
18961,502104,1
18962,502105,1
18963,502106,1
18964,502107,1
18965,502108,1
18966,502109,1
18845,502110,1
18967,502111,1
19017,502112,1
114,502113,1
19018,502114,1
4687,502115,1
117,502116,1
118,502117,1
119,502118,1
120,502119,1
121,502120,1
19019,502121,1
18846,502122,1
18847,502123,1
18848,502124,1
126,502125,1
19020,502126,1
19021,502127,1
18700,502128,1
18701,502129,1
4686,502130,1
4685,502131,1
18971,502132,1
4683,502133,1
4681,502134,1
4680,502135,1
10743,502136,1
10745,502137,1
3701,502138,1
4677,502139,1
18972,502140,1
18849,502141,1
4674,502142,1
18702,502143,1
18703,502144,1
146,502145,1
147,502146,1
148,502147,1
149,502148,1
18973,502149,1
18974,502150,1
152,502151,1
10744,502152,1
3706,502153,1
4672,502154,1
18704,502157,1
18705,502158,1
158,502160,1
159,502161,1
160,502162,1
18976,502163,1
18975,502164,1
18977,502165,1
4670,502166,1
4669,502167,1
4668,502168,1
4667,502169,1
4666,502170,1
4665,502171,1
4664,502172,1
4663,502173,1
18850,502174,1
4661,502175,1
174,502176,1
4660,502177,1
176,502178,1
177,502179,1
178,502180,1
18985,502181,1
18986,502182,1
181,502183,1
18987,502184,1
18988,502185,1
4649,502186,1
18990,502187,1
6500,502188,1
19022,502189,1
4645,502190,1
4644,502191,1
18706,502192,1
4642,502193,1
4641,502194,1
4639,502195,1
4637,502196,1
195,502197,1
19030,502198,1
3717,502199,1
198,502200,1
199,502201,1
18991,502202,1
3378,502203,1
19218,502204,1
18992,502205,1
204,502212,1
205,502215,1
206,502217,1
207,502218,1
6504,502219,1
19026,502220,1
19967,502221,1
211,502222,1
19023,502223,1
213,502224,1
214,502225,1
18880,502226,1
18881,502227,1
217,502228,1
218,502229,1
219,502230,1
220,502232,1
6506,502233,1
222,502235,1
223,502236,1
224,502237,1
225,502238,1
226,502242,1
227,502243,1
228,502244,1
229,502245,1
230,502246,1
18882,502247,1
18883,502248,1
233,502249,1
18895,502250,1
18896,502251,1
18897,502252,1
237,502253,1
238,502254,1
239,502255,1
240,502256,1
241,502257,1
242,502258,1
18899,502259,1
18898,502260,1
18900,502261,1
3452,502262,1
247,502263,1
3333,502264,9
249,502265,1
250,502266,1
251,502267,1
18994,502269,1
18995,502270,1
254,502271,1
255,502272,1
256,502273,1
257,502274,1
258,502275,1
259,502276,1
3727,502277,1
261,502278,1
262,502279,1
9479,502280,1
9478,502281,1
18902,502282,1
266,502283,1
18903,502284,1
268,502285,1
269,502286,1
270,502287,1
271,502288,1
272,502289,1
273,502290,1
274,502291,1
275,502292,1
276,502293,1
277,502294,1
4790,502295,1
4791,502296,1
6593,502297,1
6592,502298,1
20928,502299,1
6590,502300,1
6589,502302,1
19174,502303,1
19154,502304,1
19246,502305,1
12290,502306,1
6585,502307,1
6584,502308,1
12293,502309,1
6580,502310,1
19153,502311,1
11230,502312,1
19219,502313,1
19613,502314,1
19330,502315,1
19751,502316,1
19243,502317,1
19646,502318,1
6573,502319,1
19152,502320,1
6568,502321,1
6566,502322,1
20492,502323,1
6562,502324,1
12296,502325,1
6559,502326,1
20096,502327,1
19755,502328,1
6553,502329,1
13153,502330,1
6557,502331,1
5418,502332,1
6537,502333,1
18550,502334,1
7283,502335,1
13953,502336,1
5385,502337,1
13181,502338,1
5392,502339,1
5393,502340,1
10275,502341,1
5399,502342,1
13355,502343,1
7210,502344,1
5472,502345,1
5470,502346,1
5471,502347,1
5466,502348,1
5469,502349,1
5468,502350,1
20916,502351,1
6598,502352,1
19183,502353,1
6596,502354,1
12054,502356,1
16157,502357,1
19827,502358,1
19196,502359,1
19442,502360,1
19247,502361,1
5527,502362,1
13082,502363,1
6610,502364,1
13085,502365,1
16156,502366,1
13087,502367,1
20065,502368,1
13091,502369,1
13092,502370,1
13093,502371,1
19785,502372,1
9278,502374,1
13095,502375,1
20059,502376,1
5551,502377,1
5552,502378,1
5553,502379,1
15362,502380,1
13104,502381,1
19146,502382,1
13106,502383,1
13107,502384,1
19538,502385,1
13110,502386,1
13112,502387,1
19642,502388,1
5562,502389,1
5563,502390,1
20913,502391,1
19989,502392,1
19443,502393,1
5566,502394,1
5567,502395,1
19444,502396,1
21022,502397,1
19074,502398,1
19076,502399,1
16567,502400,1
16106,502401,1
16542,502402,1
19149,502403,1
19213,502404,1
16081,502405,1
18948,502406,1
19500,502407,1
17841,502408,1
20138,502409,1
16869,502410,1
20194,502411,1
16932,502412,1
16955,502413,1
16796,502414,1
17107,502415,1
16614,502416,1
20959,502417,1
17201,502418,1
19098,502419,1
19099,502420,1
9877,502421,1
16047,502422,1
18124,502423,1
15900,502424,1
10255,502425,1
18152,502426,1
9943,502427,1
18135,502428,1
17235,502429,1
9992,502430,1
17839,502431,1
10014,502432,1
17830,502433,1
10223,502434,1
18742,502435,1
10321,502436,1
19115,502437,1
20279,502438,1
19120,502439,1
19290,502440,1
19081,507205,1
19392,502442,1
19395,502443,1
20535,502444,1
11721,502445,1
5666,506972,1
20555,502447,1
20490,507472,1
19124,507191,1
18087,502450,1
21193,502451,1
20890,502452,1
19428,502453,1
21091,502454,1
19221,502455,1
11487,502456,1
19453,502457,1
15898,502458,1
17963,502459,1
17313,502460,1
19992,502461,1
5676,502462,1
5678,502463,1
5679,502464,1
17315,502465,1
18598,502466,1
5682,502467,1
5683,502468,1
5684,502469,1
5685,502470,1
5686,502471,1
19184,502472,1
5688,502473,1
5689,502474,1
5690,502475,1
6474,502476,1
6476,502477,1
5693,502478,1
19754,502479,1
5695,502480,1
20055,502481,1
5697,502482,1
20701,502483,1
5699,502484,1
5700,502485,1
20695,502486,1
19606,502487,1
6479,502488,1
5703,502489,1
19601,502490,1
5705,502491,1
20054,502492,1
5707,502493,1
6481,502494,1
6482,502495,1
5710,502496,1
5711,502497,1
19529,502498,1
6483,502499,1
17985,502500,1
6484,502501,1
7518,502502,1
6486,502503,1
5718,502504,1
19995,502505,1
6488,502506,1
6489,502507,1
5723,502508,1
5724,502509,1
5725,502510,1
5726,502511,1
19996,502512,1
19536,502513,1
5729,502514,1
19600,502515,1
19284,502516,1
19259,502517,1
19128,502518,1
5887,502519,1
19328,502520,1
5786,502521,1
9316,502522,1
19533,502523,1
19300,502524,1
10290,502525,1
18599,502526,1
6492,502527,1
19180,502528,1
5795,502529,1
5794,502530,1
5797,502531,1
5798,502532,1
5799,502533,1
9311,502534,1
9318,502535,1
19523,502536,1
21151,502537,1
11476,502538,1
17847,502539,1
7487,502540,1
521,502541,1
5889,502542,1
5890,502543,1
19165,502544,1
5893,502545,1
5894,502546,1
